"HolderAddress","Balance","PendingBalanceUpdate"
"0x04981bcfffd88073e82fc58303f4e4056d6bdb42","5000","No"
"0x04a47785621cf971fd8814489e382bbbbab2b5a6","4000","No"
"0x04a858e9abd96dc9c3c058ffbdf6cae47b3e92cc","114000","No"
"0x04b200ce706db7e3dfa4b9a50c9b16389dab235a","43000","No"
"0x04b3f849c84839054a7c5d26e7a3f9d822597313","1000","No"
"0x04b5184c15cb207243905af44871263d5b54840e","40000","No"
"0x04b82502f537eca85a1616d64b4446f725ce8d31","3000","No"
"0x04b88de9d3574cbfc0cf33f02a026f464162d954","9000","No"
"0x04bdb06397393ce9f6ce7b6538bb384f49f03b24","100000","No"
"0x04c696094821e87422f7367e01d6ddada023bca4","1000","No"
"0x04ca4d21d3a11b09f1d4a37b4558119a1a0fecdf","23890.8314445506","No"
"0x04cbc2bdf20d0266349b145bfa78f0f7bbbc57ca","9000","No"
"0x04cf495600139363e77a1109de60ad3a2c3889b7","5000","No"
"0x04d0000cc144fca8f9312b307322b35e3750e8a2","10000","No"
"0x04d1e71ea1af3c80563e05eeffdfbf02f58f1b99","10000","No"
"0x04d6876d077c59d96ac5b20feb762f52ffad1d00","1000","No"
"0x04db277ced81390b5b638005e3e4d98e0954c406","1000","No"
"0x04deffe2f7677561d01a461931b66934e3dbff0d","1000","No"
"0x04e12002bfe59001a6e4c16ef14be3dcebcacd31","78000","No"
"0x04e326111efbf7ed2787f6b2ac02765407c33c95","82000","No"
"0x04e4a56e65733b6717ae3db1ccd16694e688f1c4","6000","No"
"0x04e87fe721cd3062ff41fb2d176e5784695ccb3d","51000","No"
"0x04eaa842f4afbd5b8e619de6e3db3c024d6f7929","15000","No"
"0x04ed404ae7ea67636968fd392e06162d1deb906d","2000","No"
"0x04f4941dddc58a402c9df17e3ec0c09d1c6fe2b6","3000","No"
"0x05013d79a663d372f77bd8626c129f2ad8a6a14d","195000","No"
"0x0507f0d0f64d09b5e53ce7501b531ec9c9fddb97","17000","No"
"0x0519a33e67dfd33dc8ca6ea054ab8ea00350e9b0","18000","No"
"0x052150733b3450d08d4bd356b77d10ea1eeb8c9d","5000","No"
"0x052cab4ec8873b78e966c1072a28c979b9e63bb0","18000","No"
"0x052f8cfb1f79917086836adeec8019d714c83d7a","3000","No"
"0x054175cd42a8803ce940e897441f71d5a5eb3cc9","14000","No"
"0x0546fb4ea0da29a0914b4a947c9b052f550b0a00","72000","No"
"0x0549278f437fb9752558804978c13a6bb7c8a59c","2000","No"
"0x054b541d705f654ae8c9cefb075f76c59f75fe8e","1900","No"
"0x054b607c74b96310c4b93089a28dd022340c5ad9","11000","No"
"0x0552cb87e51ad304f7a8d49418f6f722c78a1a35","1000","No"
"0x055e7839b83e8fa88ccf88899ea641d69b6d3a10","1000","No"
"0x057acc2549938db2c0c759831e81ef0ec136648f","11000","No"
"0x057c7bee9ab73556f34a5934f7e967363f7c09cf","2000","No"
"0x0585dfd54afc4d58e926eb85fc7a8a26e7a9a335","4000","No"
"0x058c5b1663add9d06ee2e4c0fd73c9d235eadb53","1000","No"
"0x058c779525ed95bf15641908d47a02e3a9f715b7","21000","No"
"0x05a2585e898f5d2b0fc7df748d1718bdcc3c80ac","13000","No"
"0x05a8bba22f4ae00ec5416ea80b145d1b3da397ec","26000","No"
"0x05a9b4185184705b89fc75513e4ae4ba1466e061","13000","No"
"0x05b5bf6777c2ff44797a25920234766b246df36c","5000","No"
"0x05b5c1893a8c2acad86c3a3acd16cd7111d6c785","10000","No"
"0x05b6ecaa9fe7601c64a46c9db18a55ceb397fc70","89000","No"
"0x05bb13d7cff94d3dd8f6fddf1a41182befe814bc","202000","No"
"0x05c0e88b2fa61692931eebe71dcbe559cf8f0947","1000","No"
"0x05c151d2c44abe4ee3a8c911f900933c0582b30e","12000","No"
"0x05c1b15543d5e4eda174df881cc47e69b2785138","1000","No"
"0x05c63ab090b0cc29a437ce055dfc5d01bfb8505b","7000","No"
"0x05c74424df709fcb2009eefa2bb46a9e00f4a2ef","11000","No"
"0x05d9615f6621af83f8bff08a5b72bfbc370ee156","2000","No"
"0x05dbd5b44764a6788a2f50201bad4087e104e7fc","23000","No"
"0x05e38ff6fe8c97b4934f5a23e3f24f6ca558da08","3000","No"
"0x05e4b2855eb8a21797d2fd638b6b9c479e7a235a","12000","No"
"0x05ebb01e21f0c24a10df59293a21f9b894d0509d","1000","No"
"0x05fce7d564b7fd46a1f19dc962b0af76277c00d4","4000","No"
"0x05fe5507da021d3df44d7d28519e69c77c5cf879","10000","No"
"0x060602e12cecb02847419166f58cecf65ee1b34d","1000","No"
"0x060713f9e715bcc9cfc58e91cd5467e1a3cc639e","2000","No"
"0x060f09b1402ef24861e2fbe7e73320cc8f930672","5000","No"
"0x0613b75cf60ba81917128578d8ade52b2f460613","1000","No"
"0x0619154d849a1b16012fa6272e817752ac4e0701","1000","No"
"0x061bdda7110a76fb0e2b71778e0bde0b61be6186","33000","No"
"0x0624d52c93afd2dc7e53edc988f970fcddee2df6","1000","No"
"0x062ff50f82f9812627525e4ac0a0f4842b9e3c32","4000","No"
"0x0633b6d500dce5bec5953761532f4b87c6d0be76","4000","No"
"0x0636b47164ea3099c6fc39c52a3f4b7b7ecaa03b","1000","No"
"0x0637c9d9c53b070d108912f21d267e3ebfdb6ea5","1000","No"
"0x0647efbce0365a82fbffca352ff4a33874908770","1000","No"
"0x064a4887f6a19093517bfbf67f216d187378e111","2000","No"
"0x064c774cfbc71c15fa205a3c6f5c1f1bcf06e191","46000","No"
"0x0654ff8759d8b195ca15f4f01378ab988adc0e4c","1000","No"
"0x06684be499baafe62734e45692af74bcc2525f6e","1000","No"
"0x0668a84bcfe995a8ceb203abbee37e9747817a96","5000","No"
"0x066d657dbd7217c5777b6f1631def9eda3c0f6a0","1000","No"
"0x066f4c29e6ec036915d35e7dda531390cac2a173","1000","No"
"0x066fd8c9f83354f84794ee3e69dd9b37ff30e076","32000","No"
"0x0673bcf6bf620bd3923f2e138713313515092f53","18000","No"
"0x067697097ff4baff8a979373a9e9bc6e6d0caba7","175000","No"
"0x068cc0067b4899872e4e044fba6e677a434d2bf7","1000","No"
"0x069b3bf8418c57078d6007f5e8a9b846fca20b05","1000","No"
"0x06a540b1c7ef7be76237e90bc133ce3d46f2984e","2000","No"
"0x06ad9ac3e2dcbe5a65057c4951889989f534e0a0","1000","No"
"0x06c6b0dfe579fdb004d360539fca18843a3eb4c5","2000","No"
"0x06c8376847f064c6bc4eb249742eedd0aa95e147","61000","No"
"0x06c92f8223d0a4ccfb3f4a99b844d97e5d9408a2","6000","No"
"0x06cbaf7de79e342f5cba3f9a39bc8a41972a690f","1000","No"
"0x06cbb9203ebe18e16a481c965c8c4fc3ae974694","23000","No"
"0x06cdc7d3fc8c13ac81b82b016464a97cc0c952bc","42000","No"
"0x06df09a205f3fab9e258a92e6b952776cf329109","1000","No"
"0x06e36cb9ecbe67de39037acc7873341a77362431","9000","No"
"0x06e73621cf087bcdf51bfb13e4af4b765e445615","1000","No"
"0x06e95a80a6c067dcd1ad96d871456312dc27cb44","2000","No"
"0x06eccbe61c06ecf5b32a53a3e4c7216cfeca55db","3000","No"
"0x06f36d3c9dc431230babf26ea258f7b7ef20c92b","10000","No"
"0x06f538c9a42272e92adff26d18f0fd96a346ca5f","60000","No"
"0x06fbf0ad0dd92b3400dcb53adad3a48de4d621df","10000","No"
"0x070f565dfd13906eba848374c34a4485bd21e876","1000","No"
"0x072792133d4c99211197ad2591975cafd3cb36e8","6000","No"
"0x07349fe9d2b90fb21fa823246ae46589b4c8e7a2","1000","No"
"0x073c6499df0ba1316e0e3d0767907388f9910885","1000","No"
"0x07403d351b880eaefe7d34159a034fe178cd7a72","1000","No"
"0x07480cebe6bafa6ae0f7c61cf9570005ada578c7","6000","No"
"0x0754f1df5f57c969e82a4e6e9d1f1c7d04df7587","1000","No"
"0x075c6869a93e7a96c4da1ceb0fb05fc0b06b5ddc","13000","No"
"0x0768ecc001c42daeb45ef12da1e7a96cfe163b03","1000","No"
"0x0772746a6ce778203b9d8074cec46439a4e57db0","1000","No"
"0x077a15caafc5e441aca589e02f9fd205945bd925","2000","No"
"0x077c9075f90ccfb35422b5c028aae1b943ea6f5c","1000","No"
"0x0780ff406f506c2ea96335154565bc2667d5e3b5","24000","No"
"0x0782ef4dfb49e442b2580ebc67957db083fa2c13","1000","No"
"0x078b2ce656f3603f1e7eede004b818d0353f447f","400000","No"
"0x0791be3b2ae37a25de200ee38bd90b7c8bc5aa61","31000","No"
"0x079845c088976ea8a6f12b127f0fa284911ffc22","2000","No"
"0x079be539dba8743fc535c715d77354aaee3a6a57","62000","No"
"0x079c201c3b8f941987255592203446860d883dd0","296000","No"
"0x079c9d610ac68183c0b2799bd25dbcf6c8ea5f87","6000","No"
"0x07b192b229cbb55d3c165dfb5b8b13e6202b8acc","57000","No"
"0x07b4ef0e87ee263ef3b56d537b129c5a50c1041e","2000","No"
"0x07b5c42091324fd631d11315a221369c8e367c0d","1000","No"
"0x07bdde616066d508eaf12e9ad9254d83e9d9ba64","4000","No"
"0x07c6fbe6d80632d62e7f117656e8e501df0f1dda","1000","No"
