"HolderAddress","Balance","PendingBalanceUpdate"
"0x11965e117a787b2b386e4f0d106664808ea01df7","1000","No"
"0x11969a7462e63f604a84219373206ffbba597bc7","7000","No"
"0x1199c847effbfd5626440c42e80aaebb2f6f98ae","106.4","No"
"0x119bb0c3ddb2495cf69f8cc0a70a0f943f889bde","5000","No"
"0x119c39fd7dc13a6a796724892eddb250f8b5a136","1000","No"
"0x11a4eed8898d94278f6ffa7f0ad32c39ec6a3db4","4000","No"
"0x11aa54ec8631195a7a4bded19a13213b544f2f9a","1000","No"
"0x11b7f3d384e10e233c0ba214af2f791d77ef200d","1000","No"
"0x11ba597d33deec75c012762d1d590a7f944d0202","50000","No"
"0x11ed99961307614fad9a1c8fbd2b548b07895f6e","3000","No"
"0x11f1b2c85e3e9b56874ebe85c0e7ed42f17a7a4a","3000","No"
"0x11fa1e8bdd6007772adc13c4d7bd3093d647b27a","3000","No"
"0x11fe3acf18761096664e34d7951e88f016a3f0e9","1000","No"
"0x11fe858944be15e97355de4e39a4528eb7b3153f","95","No"
"0x1200a26a585d2a415e48a90f26ced4856b331536","2000","No"
"0x12131e185e117c35f6243d4d9d8c0eca03bfac09","4000","No"
"0x1218eb2025072e1b6d64a8c7cc328e8ca112b9fa","1000","No"
"0x121f91db78e8c4da356c037c17f073c20dbe41e4","2000","No"
"0x121fc507f240b923e8115ba4073b483a1a0f1972","12000","No"
"0x12200eb8d2b58c02ba631eb7f10c1f17354a1d2e","4000","No"
"0x1239f425fb4d403a83264c20e27e7cefea5bbf34","49000","No"
"0x124ecf5d8e6377392f280cc0af5db3d5cfc057b3","2000","No"
"0x124f78225b99e981df670e5ae20eed6ca076914a","1000","No"
"0x124fb955862709e30740028cb86c477221842b14","12890.9972639846","No"
"0x12555b9ef18211656d800653c20fde83cc6ca1b0","50000","No"
"0x12768a31a5285deb88ed49ed33338fe44246704a","4000","No"
"0x1277e0e295b00350f2e7563898ca6a065801038a","1000","No"
"0x128fe2989e1827d16bd9ccfdfd107f937f0095a8","1000","No"
"0x1297dc893c78e035e000e33533ac38b0d3804e4f","1000","No"
"0x129d6c47b4daa6cfa584ce9dc3a587d0d7735077","1000","No"
"0x12a9f85c3cd3b0888fd96adf22525d6473b8b7f9","32000","No"
